"YEAR","Seas","Flt","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","NUMTOWS","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1985","1","MOBILEGOFM","0","0","1","10","10","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","1","MOBILEGOFM","0","0","1","10","10","18","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1968","1","MOBILEGOFM","0","0","1","10","10","5","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1979","1","MOBILEGOFM","0","0","1","10","10","63","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1978","1","MOBILEGOFM","0","0","1","10","10","68","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1966","2","FIXEDGOFM","0","0","1","10","10","160","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1977","2","FIXEDGOFM","0","0","1","10","10","196","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1976","2","FIXEDGOFM","0","0","1","10","10","173","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1982","2","FIXEDGOFM","0","0","1","10","10","121","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1981","2","FIXEDGOFM","0","0","1","10","10","306","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1974","2","FIXEDGOFM","0","0","1","10","10","127","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1964","2","FIXEDGOFM","0","0","1","10","10","255","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1983","2","FIXEDGOFM","0","0","1","10","10","43","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1984","2","FIXEDGOFM","0","0","1","10","10","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1969","2","FIXEDGOFM","0","0","1","10","10","213","22","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1970","2","FIXEDGOFM","0","0","1","10","10","72","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1985","2","FIXEDGOFM","0","0","1","10","10","35","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1988","2","FIXEDGOFM","0","0","1","10","10","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1986","2","FIXEDGOFM","0","0","1","10","10","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","2","FIXEDGOFM","0","0","1","10","10","122","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1965","2","FIXEDGOFM","0","0","1","10","10","243","56","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1967","2","FIXEDGOFM","0","0","1","10","10","206","32","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1987","2","FIXEDGOFM","0","0","1","10","10","17","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971","2","FIXEDGOFM","0","0","1","10","10","83","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","2","FIXEDGOFM","0","0","1","10","10","93","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1968","2","FIXEDGOFM","0","0","1","10","10","209","36","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1979","2","FIXEDGOFM","0","0","1","10","10","493","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1980","2","FIXEDGOFM","0","0","1","10","10","175","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1973","2","FIXEDGOFM","0","0","1","10","10","95","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1978","2","FIXEDGOFM","0","0","1","10","10","217","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1966","1","FIXEDGOFM","0","0","1","10","10","61","0","75","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1977","1","FIXEDGOFM","0","0","1","10","10","52","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1964","1","FIXEDGOFM","0","0","1","10","10","74","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1969","1","FIXEDGOFM","0","0","1","10","10","87","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1970","1","FIXEDGOFM","0","0","1","10","10","45","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","1","FIXEDGOFM","0","0","1","10","10","32","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1965","1","FIXEDGOFM","0","0","1","10","10","110","0","106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1990","1","FIXEDGOFM","0","0","1","10","10","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1967","1","FIXEDGOFM","0","0","1","10","10","35","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971","1","FIXEDGOFM","0","0","1","10","10","20","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","1","FIXEDGOFM","0","0","1","10","10","27","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1968","1","FIXEDGOFM","0","0","1","10","10","99","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1978","1","FIXEDGOFM","0","0","1","10","10","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1996","1","FIXEDGOFM","0","0","1","10","10","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1974","1","MOBILEOTHER","0","0","1","10","10","27","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971","1","MOBILEOTHER","0","0","1","10","10","32","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1982","2","MOBILEGOFM","0","0","1","11","11","90","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1974","2","MOBILEGOFM","0","0","1","11","11","61","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1964","2","MOBILEGOFM","0","0","1","11","11","16","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1969","2","MOBILEGOFM","0","0","1","11","11","18","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1970","2","MOBILEGOFM","0","0","1","11","11","26","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1985","2","MOBILEGOFM","0","0","1","11","11","67","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","2","MOBILEGOFM","0","0","1","11","11","59","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971","2","MOBILEGOFM","0","0","1","11","11","17","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","2","MOBILEGOFM","0","0","1","11","11","53","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1968","2","MOBILEGOFM","0","0","1","11","11","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1973","2","MOBILEGOFM","0","0","1","11","11","41","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","2","MOBILEGOFM","0","0","1","11","11","59","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","2","MOBILEGOFM","0","0","1","11","11","135","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","2","MOBILEGOFM","0","0","1","11","11","102","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1966","1","MOBILEGOFM","0","0","1","11","11","10","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1977","1","MOBILEGOFM","0","0","1","11","11","50","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1974","1","MOBILEGOFM","0","0","1","11","11","37","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1983","1","MOBILEGOFM","0","0","1","11","11","16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1984","1","MOBILEGOFM","0","0","1","11","11","49","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1969","1","MOBILEGOFM","0","0","1","11","11","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1986","1","MOBILEGOFM","0","0","1","11","11","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","1","MOBILEGOFM","0","0","1","11","11","18","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1968","1","MOBILEGOFM","0","0","1","11","11","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1979","1","MOBILEGOFM","0","0","1","11","11","63","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
