"Yr","Seas","Flt","obs","err"
1985,2,12,0.053098,0.425868040143221
1986,2,12,0.952843,0.379642448876473
1987,2,12,11.90413,0.480017323500818
1988,2,12,20.99621,0.463234548640714
1989,2,12,3.503469,0.347638744362608
1990,2,12,23.223525,0.674493650548387
1991,2,12,36.744104,0.641300968213018
1992,2,12,78.935125,0.290326997822911
1993,2,12,19.36746,0.597619837909764
1994,2,12,15.97594,0.319434674654255
1995,2,12,199.804439,0.411310495514104
1996,2,12,58.75537,0.366370322503963
1997,2,12,43.118468,0.502567018003857
1998,2,12,23.122005,0.12217721577131
1999,2,12,10.532873,0.304847260746517
2000,2,12,12.284449,0.501957288752318
2001,2,12,31.870121,0.348053750354274
2002,2,12,37.479122,0.360007263126998
2003,2,12,155.207852,0.486983678216681
2004,2,12,61.37131,0.27442223161572
2005,2,12,23.768819,0.341996987223425
2006,2,12,9.983536,0.586206047369213
2007,2,12,19.124103,0.349402274759611
2008,2,12,27.904751,0.480537722877989
2009,2,12,111.655489,0.724699627067162
2010,2,12,54.810845,0.355391676344309
2011,2,12,41.720891,0.53908429174283
2012,2,12,39.282491,0.2947277595459
2013,2,12,22.022452,0.415199117464138
2014,2,12,97.651018,0.397980003539719
2015,2,12,53.890646,0.236517535393015
2016,2,12,339.560443,0.614400658895311
2017,2,12,62.304751,0.581682309104994
1963,2,11,6.426112,0.401155821760416
1964,2,11,0.582115,0.319770449000989
1965,2,11,0.817269,0.240023089641054
1966,2,11,1.626032,0.43632602585048
1967,2,11,0.444616,0.396456172816759
1968,2,11,0.448185,0.401105744382469
1969,2,11,0.213263,0.389430199285963
1970,2,11,0.46305,0.473440529362734
1971,2,11,2.964828,0.771488853223502
1972,2,11,0.586049,0.237496718864985
1973,2,11,0.06777,0.415162012234706
1974,2,11,0.122785,0.386231455012494
1975,2,11,1.264195,0.442584226377177
1976,2,11,0.281392,0.583271447686331
1977,2,11,0.099718,0.374887123507585
1978,2,11,0.63166,0.466816692300938
1979,2,11,0.091933,0.420040177665609
1980,2,11,0.016884,0.832554611157698
1981,2,11,0.013376,0.832554611157698
1982,2,11,0.074894,0.367307525227648
1983,2,11,0.304904,0.295675507550327
1984,2,11,2.182355,0.422925296295352
1985,2,11,5.16151,0.785195158759366
1986,2,11,1.188891,0.553674431028776
1987,2,11,9.090062,0.449682760699952
1988,2,11,1.722427,0.266306750468769
1989,2,11,33.64,0.46102952048032
1990,2,11,5.191204,0.339392707246411
1991,2,11,4.497968,0.309035025242818
1992,2,11,42.178609,0.386852431810352
1993,2,11,18.231271,0.250920083980747
1994,2,11,14.624825,0.235500618681784
1995,2,11,59.379974,0.268197544410298
1996,2,11,19.254978,0.27968980247982
1997,2,11,39.637399,0.29062115782883
1998,2,11,23.30323,0.180817429566876
1999,2,11,21.748731,0.23536648349229
2000,2,11,38.557205,0.288664049854455
2001,2,11,23.71649,0.273511204286461
2002,2,11,158.162909,0.526298444570532
2003,2,11,38.234482,0.251717423855734
2004,2,11,23.831893,0.205091737187397
2005,2,11,36.081039,0.366342551981502
2006,2,11,62.095276,0.567844856026959
2007,2,11,35.222394,0.210898595530398
2008,2,11,22.519386,0.226307572163595
2009,2,11,125.433821,0.670615161420718
2010,2,11,67.344146,0.208349432326798
2011,2,11,124.397438,0.445005332770794
2012,2,11,117.318252,0.177682934996885
2013,2,11,155.741269,0.262463232239973
2014,2,11,98.267271,0.194935068003924
2015,2,11,119.978756,0.23860050343151
2016,2,11,299.028631,0.566856228630247
2017,2,11,135.081349,0.493421382985747
